hash,msg,author,committer,author_date,author_timezone,committer_date,committer_zone,branches,in_main_branch,merge,modified_files,parents,project_name,project_path,deletions,insertions,lines,files,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,main_file_type,main_change_type
ea1c08b4b597187c8a8f4732ed2393e4ed34cd27,construct basic api,DukeEnglish,DukeEnglish,2021-01-28 09:15:36+08:00,-28800,2021-01-28 09:15:36+08:00,-28800,{'main'},True,,26,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,1,523,524,26,1.0,1.0,0.9012345679012346,.py,ADD
0f561a0a48943b795b0e9a3bdc2f70c29bf02030,init setup,DukeEnglish,DukeEnglish,2021-01-30 22:32:21+08:00,-28800,2021-01-30 22:32:21+08:00,-28800,{'main'},True,,21,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,39,2067,2106,21,0.5570469798657718,0.7483221476510067,0.2214765100671141,.py,ADD
c656ffa847e4e1fdf7cfd556c513a463e9d03f80,add evaluation for seg,DukeEnglish,DukeEnglish,2021-02-27 23:42:37+08:00,-28800,2021-02-27 23:42:37+08:00,-28800,{'main'},True,,7,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,3,150,153,7,1.0,1.0,0.36666666666666664,.py,MODIFY
0e02fa5cbd43aa77b9f7907e3a3a7efa58f9b08a,modify setup.py for require_install,DukeEnglish,DukeEnglish,2021-02-28 09:11:31+08:00,-28800,2021-02-28 09:11:31+08:00,-28800,{'main'},True,,5,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,11,22,33,5,0.0,0.0,1.0,.py,MODIFY
5f59a91e67b8cb20ac25ae350cbc24488f2dc326,init hmm,DukeEnglish,DukeEnglish,2021-03-20 15:25:40+08:00,-28800,2021-03-20 15:25:40+08:00,-28800,{'main'},True,,8,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,46,82,128,8,1.0,1.0,0.0,.py,ADD
9cbaddf21cd6092b75d73a1cd2b3e3d770127f57,add wrap for function time cost,DukeEnglish,DukeEnglish,2021-03-20 16:58:41+08:00,-28800,2021-03-20 16:58:41+08:00,-28800,{'main'},True,,1,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,0,71,71,1,1.0,1.0,1.0,.py,MODIFY
9bf075157a06e8066e7863616692ebfa0d86aefc,init data helper,DukeEnglish,DukeEnglish,2021-03-20 22:55:13+08:00,-28800,2021-03-20 22:55:13+08:00,-28800,{'main'},True,,3,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,0,128,128,3,1.0,1.0,0.17647058823529413,.py,MODIFY
81510b6af39e079ca7ccf52d76c69c9f17391be2,done with viterbi draft,DukeEnglish,DukeEnglish,2021-03-22 00:04:04+08:00,-28800,2021-03-22 00:04:04+08:00,-28800,{'main'},True,,6,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,18,353,371,6,0.4883720930232558,0.6802325581395349,0.46511627906976744,.py,MODIFY
fe3dc519139f2509d7607111e5ab85672ad07e3c,debug for unseen word and en,DukeEnglish,DukeEnglish,2021-03-23 00:28:27+08:00,-28800,2021-03-23 00:28:27+08:00,-28800,{'main'},True,,7,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,37,83,120,7,1.0,0.13333333333333333,1.0,.py,MODIFY
d70850b9f11e44aa044842a6da5f58a174e162f6,done with hmm,DukeEnglish,DukeEnglish,2021-03-27 21:58:40+08:00,-28800,2021-03-27 21:58:40+08:00,-28800,{'main'},True,,8,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,16,125,141,8,1.0,1.0,0.25,.py,MODIFY
af203cb43392b88658a400e5a11a5fb0fc69a659,add wudao demo; recoding information_extract; recoding seg class; add three sample,DukeEnglish,DukeEnglish,2021-09-05 18:59:15+08:00,-28800,2021-09-05 18:59:15+08:00,-28800,{'main'},True,,36,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,1776,16933,18709,36,0.07692307692307693,0.0,0.5128205128205128,.py,MODIFY
104e8e2656dae05429c820df2b2769c98569c7af,release new version,DukeEnglish,DukeEnglish,2021-09-05 20:47:07+08:00,-28800,2021-09-05 20:47:07+08:00,-28800,{'main'},True,,10,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,19,78,97,10,1.0,1.0,1.0,.py,MODIFY
504d30aec1921c6e4ba03dedf14658dac99c8280,small fix,ERICMIAO0817,ERICMIAO0817,2022-01-11 16:28:15+08:00,-28800,2022-01-11 16:28:15+08:00,-28800,{'main'},True,,1,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,1,5,6,1,0.0,0.0,1.0,.py,MODIFY
56052e49be87d604839d8f81a7295c73a5ac62cf,Small Fix,ERICMIAO0817,ERICMIAO0817,2022-01-17 12:39:42+08:00,-28800,2022-01-17 12:39:42+08:00,-28800,{'main'},True,,1,1,knlp,/private/var/folders/63/bc7xsv3d2dqcxvjfshvny69r0000gn/T/tmph5mntql4/knlp,8,4,12,1,1.0,1.0,0.0,.py,MODIFY
